Case ID,Comment,Human Theme
SAMPLE-0001,I need a phone number to speak with someone directly.,Contact / Callback Access
SAMPLE-0002,Please arrange a callback because chat did not resolve this. I would like this improved.,Contact / Callback Access
SAMPLE-0003,It was hard to reach a real support person. This affected my work.,Contact / Callback Access
SAMPLE-0004,I wanted a direct contact number instead of waiting for email. Please review this.,Contact / Callback Access
SAMPLE-0005,The callback option was missing when I needed urgent help. Overall this was important to me.,Contact / Callback Access
SAMPLE-0006,I could not find a way to contact a human representative.,Contact / Callback Access
SAMPLE-0007,Support should provide phone assistance for urgent issues. I would like this improved.,Contact / Callback Access
SAMPLE-0008,The chat kept redirecting me and I needed someone to call. This affected my work.,Contact / Callback Access
SAMPLE-0009,I prefer a live call because the issue is complicated. Please review this.,Contact / Callback Access
SAMPLE-0010,There was no easy way to reach the right team. Overall this was important to me.,Contact / Callback Access
SAMPLE-0011,I need a phone number to speak with someone directly.,Contact / Callback Access
SAMPLE-0012,Please arrange a callback because chat did not resolve this. I would like this improved.,Contact / Callback Access
SAMPLE-0013,It was hard to reach a real support person. This affected my work.,Contact / Callback Access
SAMPLE-0014,I wanted a direct contact number instead of waiting for email. Please review this.,Contact / Callback Access
SAMPLE-0015,The callback option was missing when I needed urgent help. Overall this was important to me.,Contact / Callback Access
SAMPLE-0016,I could not find a way to contact a human representative.,Contact / Callback Access
SAMPLE-0017,Support should provide phone assistance for urgent issues. I would like this improved.,Contact / Callback Access
SAMPLE-0018,The chat kept redirecting me and I needed someone to call. This affected my work.,Contact / Callback Access
SAMPLE-0019,I prefer a live call because the issue is complicated. Please review this.,Contact / Callback Access
SAMPLE-0020,There was no easy way to reach the right team. Overall this was important to me.,Contact / Callback Access
SAMPLE-0021,I need a phone number to speak with someone directly.,Contact / Callback Access
SAMPLE-0022,Please arrange a callback because chat did not resolve this. I would like this improved.,Contact / Callback Access
SAMPLE-0023,It was hard to reach a real support person. This affected my work.,Contact / Callback Access
SAMPLE-0024,I wanted a direct contact number instead of waiting for email. Please review this.,Contact / Callback Access
SAMPLE-0025,The callback option was missing when I needed urgent help. Overall this was important to me.,Contact / Callback Access
SAMPLE-0026,I could not find a way to contact a human representative.,Contact / Callback Access
SAMPLE-0027,Support should provide phone assistance for urgent issues. I would like this improved.,Contact / Callback Access
SAMPLE-0028,The chat kept redirecting me and I needed someone to call. This affected my work.,Contact / Callback Access
SAMPLE-0029,I prefer a live call because the issue is complicated. Please review this.,Contact / Callback Access
SAMPLE-0030,There was no easy way to reach the right team. Overall this was important to me.,Contact / Callback Access
SAMPLE-0031,The issue was closed but not actually resolved.,Resolution Effectiveness
SAMPLE-0032,The agent fixed my problem completely. I would like this improved.,Resolution Effectiveness
SAMPLE-0033,I still have the same problem after contacting support. This affected my work.,Resolution Effectiveness
SAMPLE-0034,The solution provided did not work for me. Please review this.,Resolution Effectiveness
SAMPLE-0035,My case was resolved after the second interaction. Overall this was important to me.,Resolution Effectiveness
SAMPLE-0036,The answer solved the issue quickly.,Resolution Effectiveness
SAMPLE-0037,I was told it was fixed but the error continues. I would like this improved.,Resolution Effectiveness
SAMPLE-0038,The resolution was incomplete and I had to reopen the case. This affected my work.,Resolution Effectiveness
SAMPLE-0039,The support team solved the problem in one session. Please review this.,Resolution Effectiveness
SAMPLE-0040,The guidance did not address my actual concern. Overall this was important to me.,Resolution Effectiveness
SAMPLE-0041,The issue was closed but not actually resolved.,Resolution Effectiveness
SAMPLE-0042,The agent fixed my problem completely. I would like this improved.,Resolution Effectiveness
SAMPLE-0043,I still have the same problem after contacting support. This affected my work.,Resolution Effectiveness
SAMPLE-0044,The solution provided did not work for me. Please review this.,Resolution Effectiveness
SAMPLE-0045,My case was resolved after the second interaction. Overall this was important to me.,Resolution Effectiveness
SAMPLE-0046,The answer solved the issue quickly.,Resolution Effectiveness
SAMPLE-0047,I was told it was fixed but the error continues. I would like this improved.,Resolution Effectiveness
SAMPLE-0048,The resolution was incomplete and I had to reopen the case. This affected my work.,Resolution Effectiveness
SAMPLE-0049,The support team solved the problem in one session. Please review this.,Resolution Effectiveness
SAMPLE-0050,The guidance did not address my actual concern. Overall this was important to me.,Resolution Effectiveness
SAMPLE-0051,The issue was closed but not actually resolved.,Resolution Effectiveness
SAMPLE-0052,The agent fixed my problem completely. I would like this improved.,Resolution Effectiveness
SAMPLE-0053,I still have the same problem after contacting support. This affected my work.,Resolution Effectiveness
SAMPLE-0054,The solution provided did not work for me. Please review this.,Resolution Effectiveness
SAMPLE-0055,My case was resolved after the second interaction. Overall this was important to me.,Resolution Effectiveness
SAMPLE-0056,The answer solved the issue quickly.,Resolution Effectiveness
SAMPLE-0057,I was told it was fixed but the error continues. I would like this improved.,Resolution Effectiveness
SAMPLE-0058,The resolution was incomplete and I had to reopen the case. This affected my work.,Resolution Effectiveness
SAMPLE-0059,The support team solved the problem in one session. Please review this.,Resolution Effectiveness
SAMPLE-0060,The guidance did not address my actual concern. Overall this was important to me.,Resolution Effectiveness
SAMPLE-0061,The agent was polite and listened carefully.,Agent Support Quality
SAMPLE-0062,The representative seemed rushed and unhelpful. I would like this improved.,Agent Support Quality
SAMPLE-0063,The support agent was knowledgeable about the product. This affected my work.,Agent Support Quality
SAMPLE-0064,The advisor did not understand my question. Please review this.,Agent Support Quality
SAMPLE-0065,The agent showed empathy and explained calmly. Overall this was important to me.,Agent Support Quality
SAMPLE-0066,The person helping me was rude during the chat.,Agent Support Quality
SAMPLE-0067,The representative was patient and professional. I would like this improved.,Agent Support Quality
SAMPLE-0068,The agent kept repeating generic responses. This affected my work.,Agent Support Quality
SAMPLE-0069,The support person was friendly and efficient. Please review this.,Agent Support Quality
SAMPLE-0070,The agent did not take ownership of the issue. Overall this was important to me.,Agent Support Quality
SAMPLE-0071,The agent was polite and listened carefully.,Agent Support Quality
SAMPLE-0072,The representative seemed rushed and unhelpful. I would like this improved.,Agent Support Quality
SAMPLE-0073,The support agent was knowledgeable about the product. This affected my work.,Agent Support Quality
SAMPLE-0074,The advisor did not understand my question. Please review this.,Agent Support Quality
SAMPLE-0075,The agent showed empathy and explained calmly. Overall this was important to me.,Agent Support Quality
SAMPLE-0076,The person helping me was rude during the chat.,Agent Support Quality
SAMPLE-0077,The representative was patient and professional. I would like this improved.,Agent Support Quality
